Index,airfoil,r_le,x_t,y_t,k_t,beta_te,gamm_le,x_c,y_c,k_c,alpha_te
104,e326,-0.0010007563423993873,0.33606627525323834,0.0637656721265026,-0.3974254460683015,0.0626255668539139,0.1141407921692286,0.2,0.02275744255141405,-1.7497241149327305,0.002
105,e327,-0.007638806153198787,0.3370884655372878,0.0655424670375122,-0.48295687902342577,0.13750736882833872,0.0983026592132416,0.21005677751993965,0.026989690621769584,-1.2545565008879296,0.002001076600825555
106,e328,-0.00738598614033579,0.33603051416334295,0.06646582027875306,-0.47913710592662095,0.13237137804753218,0.06600060049456492,0.2301345971713197,0.030772383351959427,-0.8782116166526126,0.002398290795079046
107,e329,-0.0030658896198896913,0.33380174901876475,0.06715233823432924,-0.45790299879543844,0.09946861504862865,0.1761766296748936,0.23844377362882663,0.03514746310065567,-0.7226604258752432,0.024038873403246553
108,e330,-0.006840703107117451,0.3025088499237624,0.05532834073725955,-0.5535725427087073,0.15590529644754875,0.11709654300391072,0.20001789179587423,0.022797105230694194,-1.75,0.0020023312765231377
109,e331,-0.006535961882179332,0.30464918741941427,0.056498092681060305,-0.5362955600517774,0.1462568196125612,0.10093592198090104,0.20853706991228266,0.027100879267853477,-1.2918403787147128,0.00200667490920087
110,e332,-0.006891138341506048,0.30551058312817453,0.05756059748797856,-0.5398586569091186,0.1454877110376513,0.07539639348751648,0.22905239112374856,0.03121068743095046,-0.9604142701462162,0.002
111,e333,-0.007435859770814027,0.30674067693515833,0.05874457207357294,-0.5773117374295034,0.14304830528919762,0.04922095602240311,0.24792415582224156,0.035717701036334815,-0.7621130919991976,0.0020271673158726495
112,e334,-0.008066729585889311,0.30670365199087773,0.059825056475345265,-0.6560495354189648,0.14177070957647567,0.09235218218275322,0.26449201061940447,0.04009315835836997,-0.6527869338484439,0.008605793625817166
113,e335,-0.00828170429665715,0.3112255058299101,0.06320063528410677,-0.6107723769612486,0.18669172025064423,0.10604975517746949,0.2,0.024384418144230483,-1.75,0.002
114,e336,-0.00812261384155653,0.314112357932753,0.06407163814303102,-0.576021797408779,0.1774964275589767,0.0978266546754626,0.21071123164799013,0.029226213659919075,-1.5196964138461841,0.0020003699555455256
115,e337,-0.008119976446263832,0.3144775836370761,0.06535458445295851,-0.5842239822887252,0.17068576542645725,0.07710565398565629,0.23052249941028521,0.033452501307834004,-1.117470453553355,0.002001374227867585
116,e338,-0.008770219182645147,0.3147093173602696,0.06651768598696381,-0.6375532658519091,0.167952732639647,0.04523053296780329,0.2467894203350191,0.037726115969329704,-0.8820874210806358,0.002047309913562034
117,e339,-0.009562565553621947,0.31463164525730125,0.0678773339018716,-0.7075307313866568,0.16756526094239285,0.0686855909692034,0.2601473887596325,0.04174319784645954,-0.7416106419820574,0.007176705560551814
